Enhancer_ID	CAGE	DNase	H3K27ac
CTCF_MYC	1.0807061854947524	2.7365561645885728	1.7093823881997372
FOXO	-0.5951856484755916	-1.0207563656759635	0.7904989925175586
FOXO_CTCF	0.7363966738342359	2.536868492384073	1.6864751246717642
FOXO_FOXO	-0.7097124371167546	-1.0170842008904446	0.8135890093088728
FOXO_FOXO_FOXO	-0.8477381425046344	-1.0284891820059496	0.847645297962346
FOXO_IRF_FOXO	-0.8214917709307246	-0.7798832949002902	1.0464259450000157
FOXO_MEF2_FOXO	-0.6237114797132968	-0.9754446946884245	0.9522670504781422
FOXO_MYC	-0.6160457848950746	-0.9961957267385749	0.7988390888268192
FOXO_PU1_FOXO	-0.1214003791066318	0.09096491201697059	1.4156439411783763
IRF_CTCF_IRF	1.4319974039188728	2.9911600912712113	2.429313983864999
IRF_FOXO_IRF	-0.3486757082689505	0.07663730980931267	1.8983267939287813
IRF_IRF	-0.033709648829147	-0.2244383436264962	1.5190853013274255
IRF_IRF_IRF	0.04505141194124051	0.00490872886165911	1.8667476699393204
IRF_MYC	-0.23222092889908408	-0.6796209365255361	1.09126035081502
IRF_MYC_IRF	0.2950987088104149	0.27447787020975406	1.9203744059639558
IRF_NFKB	1.397398348009495	0.3804777313998549	2.3820299712609105
IRF_PU1_IRF	3.472572022496927	2.204152549023408	4.614201704336254
IRF_RUNX3_IRF	0.5714798539729969	0.8168310294298315	2.148649653346039
MYC_FOXO	-0.5969641892019943	-0.9935146295728597	0.7862180595120402
MYC_FOXO_MYC	-0.7380527377483382	-0.9959472818192676	0.7570833560496962
MYC_IRF_MYC	-0.28693874070653314	-0.6122834576346937	1.1183480414407658
MYC_MEF2_MYC	-0.8183677632361318	-0.797834216994104	0.9376373821536457
MYC_MYC_MYC	-0.8381809689930373	-1.1409811254910163	0.5528669066310171
MYC_NFKB	0.2675982864027268	-0.48697893984288393	1.2710626458625338
MYC_NFKB_MYC	-0.1122692199658828	-0.561987929304171	1.1396229706177303
MYC_PU1_MYC	0.938642699433491	0.18131685425006774	1.3396351107874171
MYC_RUNX3_MYC	-0.46491023761307354	-0.8600941195482276	0.708706820859204
NFKB	0.6020225100551401	-0.6568552575500347	1.2428121602085964
NFKB_FOXO_NFKB	3.352745276975023	0.9756673722056465	3.2282100036651946
NFKB_IRF_NFKB	3.1548405695281354	1.119912999733376	3.5513103685026244
NFKB_MYC_NFKB	2.6071951605636996	0.8101974249253948	2.8152654425132106
NFKB_NFKB_NFKB	4.8899717938840706	2.227356003937062	4.963036311163808
NFKB_PU1_NFKB	4.950769909149052	2.735254859626224	4.943087409055463
NFKB_RUNX3	1.0370970237345023	0.2098706718951947	1.6437417423732608
NFKB_RUNX3_NFKB	3.541005187116959	1.7675419113147564	3.4231885950400183
PU1_CTCF_PU1	4.451979893581377	3.3660493971519525	3.9478642825860946
PU1_FOXO	0.1589818668674364	0.47805313861409204	1.6775947923902796
PU1_FOXO_PU1	4.250359285603634	2.517511612700623	4.268463356774284
PU1_IRF_PU1	4.672137263272956	2.873267443590476	5.046183117886864
PU1_MEF2_PU1	4.455582444203127	2.9967325343869056	5.139521207661114
PU1_MYC_PU1	4.186949075064824	2.3739583081482114	3.6397109285709544
PU1_NFKB	3.104447547553334	1.9321075807560586	3.532752569719019
PU1_NFKB_PU1	4.80198485912529	2.9771948863366178	4.809655455413218
PU1_PU1	3.451436189748143	1.910969565832347	3.6808927675034107
PU1_PU1_PU1	4.490373198778305	2.250675517548082	4.407824285998889
PU1_RUNX3_PU1	4.450824433809186	3.024375753603172	3.9638247128095117
RUNX3_CTCF_RUNX3	0.8817226314942782	2.6691470600418583	1.7216692037339782
RUNX3_IRF_RUNX3	0.30720364821295554	1.190944515733253	1.4590500651560891
RUNX3_MYC_RUNX3	-0.5773669635375125	-0.11566931400500331	0.8074303567999142
RUNX3_PU1	1.798494989031693	1.769872784479911	1.947593045199559
RUNX3_PU1_RUNX3	2.1486441047667086	2.897084058863053	2.083473601864341
RUNX3_RUNX3_RUNX3	-0.7418592832198181	-0.06079052721879835	0.9085715912227862
