"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
2.26099917395878,2.26274347579616,35.4675624238445,1.56544243135197e-09,2.03197832627661e-07,"PU1_MYC_PU1",0.0705093957187013,0.0563321703433945
2.40734816903555,2.40882390287755,29.6426719464065,5.70521938646021e-09,2.03197832627661e-07,"NFKB_NFKB_NFKB",0.0917004433860376,0.0723387475689992
-2.4306738369876,-2.42784935340983,-29.1210819901948,6.48932632556766e-09,2.03197832627661e-07,"MYC_NFKB_MYC",0.0505230720838138,0.0744354015377471
-4.35509130011673,-4.34756737575688,-28.7459854470458,8.34732311426647e-09,2.03197832627661e-07,"CTCF_CTCF",0.174785001575387,0.142352291307636
-4.20231184310948,-4.19385993462054,-28.3565787392627,9.11198260022569e-09,2.03197832627661e-07,"IRF_MYC",0.169374428367865,0.138919348257671
2.88917880391885,2.91295088719712,27.7862403485955,9.50176198482519e-09,2.03197832627661e-07,"PU1_PU1_PU1",0.103168310171527,0.09451240488596
-4.30477684687978,-4.30449204199249,-28.1154001077919,9.74236183831252e-09,2.03197832627661e-07,"RUNX3_FOXO_RUNX3",0.183363165975486,0.143755465885256
-3.79318761318923,-3.76271290351153,-25.8719578912268,1.7000698020662e-08,3.10262738877082e-07,"MYC_MYC_MYC_MYC",0.102142811775478,0.13644708383483
-4.57211854027361,-4.61682882812611,-25.2041341755331,2.14844501744728e-08,3.48525525052558e-07,"RUNX3_IRF_RUNX3",0.117043446253471,0.170967354182032
2.37637883777385,2.39439580234188,23.1779925763107,3.25447129329521e-08,4.75152808821101e-07,"PU1_NFKB_PU1",0.106458855122941,0.0911789243603442
-5.61000097821828,-5.61009408990166,-23.1436241496238,4.12733713069688e-08,5.1201461306846e-07,"CTCF_PU1_CTCF",0.25292599722996,0.231034108479134
-2.64226235284071,-2.60587837760911,-22.4436439230607,4.20833928549419e-08,5.1201461306846e-07,"RUNX3_PU1_RUNX3",0.0920900696285002,0.106008986560435
-4.60559060580168,-4.59577590763213,-22.5706461255093,4.70167665634147e-08,5.28034455250657e-07,"PU1_CTCF",0.176101535372131,0.19239839993149
2.33090895798025,2.3415340641284,21.3425591855347,5.80063751026389e-08,5.95045643328542e-07,"NFKB_PU1_NFKB",0.118289487541777,0.0968897185276638
-2.94070120321752,-2.92747415929297,-21.3789487989947,6.11348263693708e-08,5.95045643328542e-07,"MYC_RUNX3_MYC",0.118886639249615,0.125247823106702
-2.83817793446223,-2.79857233885938,-20.699709449791,7.6025022332137e-08,6.9372832878075e-07,"IRF_NFKB_IRF",0.126852658121347,0.124404815191956
-3.47797435018517,-3.55505732998265,-20.5142521855344,8.57331213422587e-08,7.36296218586457e-07,"MYC_IRF_MYC",0.109154286393486,0.156717384346985
-1.94097768584451,-1.9295648335538,-19.8645352719469,9.1744904045986e-08,7.4415311059522e-07,"MYC_PU1_MYC",0.0696654711712173,0.0844692945009561
-3.27550850011865,-3.27785343093572,-20.1065095341831,9.71500065510982e-08,7.46521102971596e-07,"RUNX3_RUNX3_RUNX3",0.154047219753727,0.149825810848141
-4.25274095888277,-4.23790936394323,-19.9575409795059,1.09840312339638e-07,8.01834280079359e-07,"CTCF_MYC",0.168249010024877,0.199909726210556
-2.92025854921076,-2.86769210916398,-18.7737042262854,1.52513459158232e-07,1.06033166843342e-06,"RUNX3_NFKB",0.138408776174552,0.141539682917585
1.27775470643949,1.27886442509245,17.9868017656937,1.69382774448878e-07,1.12408568497891e-06,"NFKB_RUNX3_NFKB",0.0705843913157145,0.0564147152909125
-2.0360850374816,-2.03210817774366,-18.1056312907502,1.78305410610965e-07,1.13185173692178e-06,"IRF_IRF_IRF",0.10582842406795,0.0979281309320386
-5.18262766285206,-5.06445679342646,-18.5656641804993,1.91899689798495e-07,1.16738977960751e-06,"FOXO_MYC_FOXO_MYC",0.231381824592117,0.264983423657184
1.82911436375457,1.83515634477499,17.3466381399838,2.34512756357747e-07,1.36955449712924e-06,"PU1_FOXO_PU1",0.112579323764796,0.0902814681025125
-3.46338118244336,-3.45406236638902,-17.5516345797391,2.56678651490595e-07,1.39803524991439e-06,"MYC",0.226984423746587,0.182338958919753
-4.92115877729641,-4.8885917331992,-17.7608903330196,2.58791681189462e-07,1.39803524991439e-06,"CTCF_FOXO_CTCF",0.197636672947023,0.262268629788374
-3.99854018915328,-3.98594294541733,-17.5396096501505,2.6811634929865e-07,1.39803524991439e-06,"RUNX3_CTCF_RUNX3",0.167360813991803,0.21297542293294
-3.40647223562778,-3.40687577483879,-17.231288923885,2.90764267476829e-07,1.46384769143507e-06,"CTCF_NFKB",0.183412345769213,0.182426157653055
-3.18589561534992,-3.15756505495987,-17.0870049262632,3.02748537434166e-07,1.47337621551294e-06,"NFKB_IRF",0.192591090949213,0.17105755058475
-3.57279449016009,-3.55560998977677,-16.8834367816132,3.3987981409231e-07,1.60072428572507e-06,"MYC_MEF2_MYC",0.157668717132288,0.196035921307845
-2.85061027547042,-2.80253232538189,-16.611001525119,3.57712883762828e-07,1.61554192622859e-06,"FOXO_IRF_FOXO",0.140107566234361,0.155774825842001
